ICDNames,ICDCode
Fracture of upper epiphysis of femur,NC72.1
Fracture of neck of femur,NC72.2
Fracture of trochanteric section of femur,NC72.3
Subtrochanteric fracture of femur,NC72.4
Fracture of shaft of femur,NC72.5
Fracture of lower end of femur,NC72.6
Multiple fractures of femur,NC72.7
Fractures of other parts of femur,NC72.8
Other specified fracture of femur,NC72.Y
"Fracture of femur, unspecified",NC72.Z
Dislocation or strain or sprain of joint or ligaments of hip,NC73
Dislocation of hip,NC73.0
Strain or sprain of hip,NC73.1
Injury of nerves at hip or thigh level,NC74
Injury of sciatic nerve at hip or thigh level,NC74.0
Injury of femoral nerve at hip or thigh level,NC74.1
Injury of cutaneous sensory nerve at hip or thigh level,NC74.2
Injury of multiple nerves at hip or thigh level,NC74.3
Injury of other specified nerves at hip or thigh level,NC74.Y
Injury of unspecified nerve at hip or thigh level,NC74.Z
Injury of blood vessels at hip or thigh level,NC75
Injury of femoral artery,NC75.0
Injury of femoral vein at hip or thigh level,NC75.1
Injury of greater saphenous vein at hip or thigh level,NC75.2
Injury of multiple blood vessels at hip or thigh level,NC75.3
Injury of other specified blood vessels at hip and thigh level,NC75.Y
Injury of unspecified blood vessel at hip or thigh level,NC75.Z
"Injury of muscle, fascia, tendon or bursa at hip or thigh level",NC76
"Injury of muscle, fascia or tendon of hip",NC76.0
Injury of quadriceps muscle or tendon,NC76.1
"Injury of adductor muscle, fascia or tendon of thigh",NC76.2
"Injury of muscle, fascia or tendon of the posterior muscle group at thigh level",NC76.3
Injury of multiple muscles or tendons at hip or thigh level,NC76.4
"Injury of other specified muscle, fascia, tendon or bursa at hip or thigh level",NC76.Y
"Injury of unspecified muscle, fascia, tendon or bursa at hip or thigh level",NC76.Z
Crushing injury of hip or thigh,NC77
Crushing injury of hip,NC77.0
Crushing injury of thigh,NC77.1
Crushing injury of hip with thigh,NC77.2
"Crushing injury of hip or thigh, unspecified",NC77.Z
Traumatic amputation of hip or thigh,NC78
Traumatic amputation at right hip joint,NC78.0
Traumatic amputation at left hip joint,NC78.1
"Traumatic amputation at hip joint, bilateral",NC78.2
Traumatic amputation at level between right hip and knee,NC78.3
Traumatic amputation at level between left hip and knee,NC78.4
"Traumatic amputation at level between hip and knee, bilateral",NC78.5
"Traumatic amputation of hip or thigh, unspecified",NC78.Z
Multiple injuries of hip or thigh,NC79
Other specified injuries to the hip or thigh,NC7Y
"Injuries to the hip or thigh, unspecified",NC7Z
Superficial injury of knee or lower leg,NC90
Abrasion of knee,NC90.0
Contusion of knee,NC90.1
Abrasion of other or unspecified parts of lower leg,NC90.2
Contusion of other or unspecified parts of lower leg,NC90.3
Multiple superficial injuries of lower leg,NC90.4
Other specified superficial injury of knee or lower leg,NC90.Y
"Superficial injury of knee or lower leg, unspecified",NC90.Z
Open wound of knee or lower leg,NC91
Laceration without foreign body of lower leg,NC91.0
Laceration with foreign body of lower leg,NC91.1
Puncture wound without foreign body of lower leg,NC91.2
Puncture wound with foreign body of lower leg,NC91.3
Open bite of lower leg,NC91.4
Multiple open wounds of lower leg,NC91.5
Other specified open wound of knee or lower leg,NC91.Y
"Open wound of knee or lower leg, unspecified",NC91.Z
"Fracture of lower leg, including ankle",NC92
Fracture of patella,NC92.0
Fracture of upper end of tibia,NC92.1
Fracture of shaft of tibia,NC92.2
Fracture of lower end of tibia,NC92.3
Fracture of fibula alone,NC92.4
Fracture of medial malleolus,NC92.5
Fracture of lateral malleolus,NC92.6
Complex fractures of ankle,NC92.7
Multiple fractures of lower leg,NC92.8
"Fracture of other specified part of lower leg, including ankle",NC92.Y
"Fracture of lower leg, including ankle, unspecified",NC92.Z
Dislocation or strain or sprain of joints or ligaments of knee,NC93
Acute internal damage of knee,NC93.0
Dislocation of patella,NC93.1
Dislocation of knee,NC93.2
"Tear of meniscus, current",NC93.3
Tear of articular cartilage of knee,NC93.4
Strain or sprain involving fibular or tibial collateral ligament of knee,NC93.5
Strain or sprain involving anterior or posterior cruciate ligament of knee,NC93.6
Strain or sprain of other or unspecified parts of knee,NC93.7
Injury to multiple structures of knee,NC93.8
Other specified dislocation or strain or sprain of joints or ligaments of knee,NC93.Y
"Dislocation or strain or sprain of joints or ligaments of knee, unspecified",NC93.Z
Injury of nerves at lower leg level,NC94
Injury of tibial nerve at lower leg level,NC94.0
Injury of peroneal nerve at lower leg level,NC94.1
Injury of cutaneous sensory nerve at lower leg level,NC94.2
Injury of multiple nerves at lower leg level,NC94.3
Injury of other specified nerves at lower leg level,NC94.Y
Injury of unspecified nerve at lower leg level,NC94.Z
Injury of blood vessels at lower leg level,NC95
Injury of popliteal artery,NC95.0
Injury of anterior tibial artery,NC95.1
Injury of posterior tibial artery,NC95.2
Injury of peroneal artery,NC95.3
Injury of greater saphenous vein at lower leg level,NC95.4
Injury of lesser saphenous vein at lower leg level,NC95.5
Injury of popliteal vein,NC95.6
Injury of multiple blood vessels at lower leg level,NC95.7
Injury of other specified blood vessels at lower leg level,NC95.Y
Injury of unspecified blood vessel at lower leg level,NC95.Z
"Injury of muscle, fascia, tendon or bursa at lower leg level",NC96
Injury of Achilles tendon,NC96.0
"Injury of other muscle, fascia or tendon of posterior muscle group at lower leg level",NC96.1
"Injury of muscle, fascia or tendon of anterior muscle group at lower leg level",NC96.2
"Injury of muscle, fascia or tendon of peroneal muscle group at lower leg level",NC96.3
"Injury of multiple muscles, fasciae or tendons at lower leg level",NC96.4
Injury of bursa of knee,NC96.5
"Injury of other specified muscle, fascia, tendon or bursa at lower leg level",NC96.Y
"Injury of unspecified muscle, fascia, tendon or bursa at lower leg level",NC96.Z
Crushing injury of lower leg,NC97
Crushing injury of knee,NC97.0
Crushing injury of other specified part of lower leg,NC97.Y
"Crushing injury of lower leg, unspecified",NC97.Z
Traumatic amputation of lower leg,NC98
Traumatic amputation of right lower leg at knee level,NC98.0
Traumatic amputation of left lower leg at knee level,NC98.1
"Traumatic amputation at knee level, bilateral",NC98.2
Traumatic amputation at level between right knee and ankle,NC98.3
Traumatic amputation at level between left knee and ankle,NC98.4
"Traumatic amputation at level between knee and ankle, bilateral",NC98.5
Other specified traumatic amputation of lower leg,NC98.Y
"Traumatic amputation of lower leg, unspecified",NC98.Z
Multiple injuries of lower leg,NC99
Other specified injuries to the knee or lower leg,NC9Y
"Injuries to the knee or lower leg, unspecified",NC9Z
Injury to toenail,ND10
Superficial injury of ankle or foot,ND11
Abrasion of ankle,ND11.0
Contusion of ankle,ND11.1
Nonthermal blister of ankle,ND11.2
Nonvenomous insect bite of ankle,ND11.3
Superficial foreign body in ankle,ND11.4
Abrasion of toe,ND11.5
Contusion of toe,ND11.6
Abrasion of other or unspecified parts of foot,ND11.7
Contusion of other or unspecified parts of foot,ND11.8
Nonthermal blister of other or unspecified parts of foot,ND11.9
Nonvenomous insect bite of other or unspecified parts of foot,ND11.A
Superficial foreign body in other or unspecified parts of foot,ND11.B
Multiple superficial injuries of ankle or foot,ND11.C
Other specified superficial injury of ankle or foot,ND11.Y
"Superficial injury of ankle or foot, unspecified",ND11.Z
Open wound of ankle or foot,ND12
Laceration without foreign body of ankle or foot,ND12.0
Laceration with foreign body of ankle or foot,ND12.1
Puncture wound with foreign body of ankle or foot,ND12.2
Puncture wound without foreign body of ankle or foot,ND12.3
Open bite of ankle or foot,ND12.4
Multiple open wounds of ankle or foot,ND12.5
Open wound of toe,ND12.6
Other specified open wound of ankle or foot,ND12.Y
"Open wound of ankle or foot, unspecified",ND12.Z
"Fracture of foot, except ankle",ND13
Fracture of calcaneus,ND13.0
Fracture of talus,ND13.1
Fracture of unspecified tarsal bone,ND13.2
Fracture of metatarsal bone,ND13.3
Fracture of great toe,ND13.4
Fracture of other toe,ND13.5
Multiple fractures of foot,ND13.6
Fracture of cuboid bone,ND13.7
Fracture of lateral cuneiform,ND13.8
Fracture of intermediate cuneiform,ND13.9
Fracture of medial cuneiform,ND13.A
Fracture of navicular of foot,ND13.B
"Fracture of other specified part of foot, except ankle",ND13.Y
"Fracture of foot, except ankle, unspecified",ND13.Z
Dislocation or strain or sprain of joints or ligaments at ankle or foot level,ND14
Dislocation of ankle joint,ND14.0
Dislocation of great toe,ND14.1
Dislocation of other toe,ND14.2
Dislocation of tarsal joint,ND14.3
Dislocation of tarsometatarsal joint,ND14.4
Rupture of ligaments at ankle or foot level,ND14.5
Dislocation of other or unspecified parts of foot,ND14.6
Strain or sprain of ankle,ND14.7
Strain or sprain of toe,ND14.8
Strain or sprain of great toe,ND14.9
Strain or sprain of other or unspecified parts of foot,ND14.A
Other specified dislocation or strain or sprain of joints or ligaments at ankle or foot level,ND14.Y
"Dislocation or strain or sprain of joints or ligaments at ankle or foot level, unspecified",ND14.Z
Injury of nerves at ankle or foot level,ND15
Injury of lateral plantar nerve,ND15.0
Injury of medial plantar nerve,ND15.1
Injury of deep peroneal nerve at ankle or foot level,ND15.2
Injury of cutaneous sensory nerve at ankle or foot level,ND15.3
Injury of multiple nerves at ankle or foot level,ND15.4
Injury of other specified nerves at ankle and foot level,ND15.Y
Injury of unspecified nerve at ankle or foot level,ND15.Z
Injury of blood vessels at ankle or foot level,ND16
Injury of dorsal artery of foot,ND16.0
Injury of plantar artery of foot,ND16.1
Injury of dorsal vein of foot,ND16.2
Injury of multiple blood vessels at ankle or foot level,ND16.3
Injury of other specified blood vessels at ankle and foot level,ND16.Y
Injury of unspecified blood vessel at ankle or foot level,ND16.Z
"Injury of muscle, fascia or tendon at ankle or foot level",ND17
"Injury of muscle, fascia or tendon of long flexor muscle of toe at ankle or foot level",ND17.0
"Injury of muscle, fascia or tendon of long extensor muscle of toe at ankle or foot level",ND17.1
"Injury of intrinsic muscle, fascia or tendon at ankle or foot level",ND17.2
Injury of multiple muscles or tendons at ankle or foot level,ND17.3
"Injury of other specified muscle, fascia or tendon at ankle or foot level",ND17.Y
"Injury of unspecified muscle, fascia or tendon at ankle or foot level",ND17.Z
Crushing injury of ankle or foot,ND18
Crushing injury of ankle,ND18.0
Crushing injury of toe,ND18.1
Crushing injury of other parts of ankle or foot,ND18.2
"Crushing injury of ankle or foot, unspecified",ND18.Z
Traumatic amputation of ankle or foot,ND19
Traumatic amputation of right foot at ankle level,ND19.0
Traumatic amputation of left foot at ankle level,ND19.1
"Traumatic amputation of foot at ankle level, bilateral",ND19.2
Traumatic amputation of right foot at metatarsal level,ND19.3
Traumatic amputation of left foot at metatarsal level,ND19.4
"Traumatic amputation of foot at metatarsal level, bilateral",ND19.5
Traumatic amputation of one toe,ND19.6
Traumatic amputation of two or more toes,ND19.7
Traumatic amputation of other parts of foot,ND19.8
"Traumatic amputation of ankle or foot, unspecified",ND19.Z
Multiple injuries of ankle or foot,ND1A
Other specified injuries to the ankle or foot,ND1Y
"Injuries to the ankle or foot, unspecified",ND1Z
Superficial injuries involving multiple body regions,ND30
Open wounds involving multiple body regions,ND31
Fractures involving multiple body regions,ND32
"Dislocations, strains or sprains involving multiple body regions",ND33
Crushing injuries involving multiple body regions,ND34
Traumatic amputations involving multiple body regions,ND35
"Other injuries involving multiple body regions, not elsewhere classified",ND36
Unspecified multiple injuries,ND37
"Fracture of spine, level unspecified",ND50
"Other injuries of spine or trunk, level unspecified",ND51
Dislocation or strain or sprain of unspecified joint or ligament of trunk,ND51.0
"Injury of unspecified nerve, spinal nerve root or plexus of trunk",ND51.1
"Injury of spinal cord, level unspecified",ND51.2
"Injury of unspecified muscle, fascia or tendon of trunk",ND51.3
"Crushing injury of spine or trunk, level unspecified",ND51.4
"Other specified injuries of spine or trunk, level unspecified",ND51.Y
"Unspecified injuries of spine or trunk, level unspecified",ND51.Z
"Fracture of arm, level unspecified",ND52
"Other injuries of arm, level unspecified",ND53
"Crushing injury of arm, level unspecified",ND53.0
"Other specified injuries of arm, level unspecified",ND53.Y
"Fracture of leg, level unspecified",ND54
"Other injuries of leg, level unspecified",ND55
Injury of unspecified body region,ND56
Superficial injury of unspecified body region,ND56.0
Open wound of unspecified body region,ND56.1
Fracture of unspecified body region,ND56.2
Dislocation or strain or sprain of unspecified body region,ND56.3
Injury of nerve of unspecified body region,ND56.4
Injury of blood vessel of unspecified body region,ND56.5
Injury of muscles or tendons of unspecified body region,ND56.6
Crushing injury of unspecified body region,ND56.7
Traumatic amputation of unspecified body region,ND56.8
Injury complicating pregnancy,ND56.9
Other specified injury of unspecified body region,ND56.Y
"Unspecified injury to unspecified part of trunk, limb or body region",ND56.Z
Secondary effect of trauma,ND57
"Other specified injuries to unspecified part of trunk, limb or body region",ND5Y
"Injuries to unspecified part of trunk, limb or body region, unspecified",ND5Z
Foreign body on external eye,ND70
Foreign body in cornea,ND70.0
Foreign body in conjunctival sac,ND70.1
Foreign body in multiple parts of external eye,ND70.2
Foreign body in other specified part of external eye,ND70.Y
"Foreign body on external eye, unspecified",ND70.Z
Foreign body in ear,ND71
Foreign body in respiratory tract,ND72
Foreign body in nasal sinus,ND72.0
Foreign body in nostril,ND72.1
Foreign body in pharynx,ND72.2
Foreign body in larynx,ND72.3
Foreign body in trachea,ND72.4
Foreign body in bronchus,ND72.5
